"","age_A","age_B","height_A","height_B","reach_A","reach_B","weight_A","weight_B","won_A","won_B","lost_A","lost_B","kos_A","kos_B","AdvAgeA","AdvHeightA","AdvReachA","AdvWgtA","Over35AgeA","Over35AgeB","Over15lbA","Over15lbB","WinPA","WinPB","KoAPer","KoBPer","binaryresult","stance"
"968",36,33,196,201,208,218,237,230,52,26,3,0,43,16,3,-5,-10,7,1,0,0,0,0.945454545454545,1,0.781818181818182,0.615384615384615,"1","orthodox"
"803",30,33,182,188,193,203,188,190,26,27,4,4,15,20,-3,-6,-10,-2,0,0,0,0,0.866666666666667,0.870967741935484,0.5,0.645161290322581,"1","orthodox"
"20",24,32,170,168,180,174,127,128,23,21,0,11,10,12,-8,2,6,-1,0,0,0,0,1,0.65625,0.434782608695652,0.375,"1","orthodox"
"951",26,21,165,173,174,180,124,123,34,32,9,1,8,7,5,-8,-6,1,0,0,0,0,0.790697674418605,0.96969696969697,0.186046511627907,0.212121212121212,"1","orthodox"
"88",27,26,171,171,179,170,125,125,35,15,1,0,21,8,1,0,9,0,0,0,0,0,0.972222222222222,1,0.583333333333333,0.533333333333333,"1","orthodox"
"437",29,27,180,179,191,185,147,147,34,31,1,1,24,25,2,1,6,0,0,0,0,0,0.971428571428571,0.96875,0.685714285714286,0.78125,"1","orthodox"
"361",27,28,189,184,203,188,195,195,4,36,6,5,4,16,-1,5,15,0,0,0,0,0,0.4,0.878048780487805,0.4,0.390243902439024,"1","Unknown"
"107",27,25,168,175,165,178,131,131,8,8,0,1,3,4,2,-7,-13,0,0,0,0,0,1,0.888888888888889,0.375,0.444444444444444,"1","orthodox"
"102",43,22,165,180,168,178,148,150,26,15,15,0,17,14,21,-15,-10,-2,1,0,0,0,0.634146341463415,1,0.414634146341463,0.933333333333333,"1","orthodox"
"887",32,26,163,173,160,180,120,124,24,32,33,1,16,22,6,-10,-20,-4,0,0,0,0,0.421052631578947,0.96969696969697,0.280701754385965,0.666666666666667,"1","orthodox"
"962",32,32,170,175,178,178,152,152,22,42,6,5,16,29,0,-5,0,0,0,0,0,0,0.785714285714286,0.893617021276596,0.571428571428571,0.617021276595745,"1","orthodox"
"658",24,23,178,177,184,178,162,161,61,16,13,1,17,8,1,1,6,1,0,0,0,0,0.824324324324324,0.941176470588235,0.22972972972973,0.470588235294118,"1","Unknown"
"299",26,26,163,163,157,173,118,118,10,4,4,6,5,0,0,0,-16,0,0,0,0,0,0.714285714285714,0.4,0.357142857142857,0,"1","orthodox"
"391",35,26,168,180,175,184,147,147,40,33,2,0,17,29,9,-12,-9,0,1,0,0,0,0.952380952380952,1,0.404761904761905,0.878787878787879,"1","southpaw"
"652",28,28,166,165,168,165,118,116,25,16,0,4,11,12,0,1,3,2,0,0,0,0,1,0.8,0.44,0.6,"1","southpaw"
"6151",21,25,168,169,169,163,135,135,24,87,0,5,21,73,-4,-1,6,0,0,0,0,0,1,0.945652173913043,0.875,0.793478260869565,"1","orthodox"
"1027",23,21,170,173,180,173,126,126,37,10,6,1,29,5,2,-3,7,0,0,0,0,0,0.86046511627907,0.909090909090909,0.674418604651163,0.454545454545455,"1","orthodox"
"265",36,37,193,192,201,206,237,250,36,24,1,17,34,19,-1,1,-5,-13,1,1,0,0,0.972972972972973,0.585365853658537,0.918918918918919,0.463414634146341,"1","orthodox"
"955",36,35,192,196,193,207,248,226,30,29,2,1,14,17,1,-4,-14,22,1,1,1,0,0.9375,0.966666666666667,0.4375,0.566666666666667,"1","orthodox"
"565",48,25,192,193,199,203,260,227,76,29,4,1,68,24,23,-1,-4,33,1,0,1,0,0.95,0.966666666666667,0.85,0.8,"1","orthodox"
"162",20,22,170,168,174,175,118,117,3,6,1,0,1,1,-2,2,-1,1,0,0,0,0,0.75,1,0.25,0.166666666666667,"1","southpaw"
"251",26,25,173,170,180,173,140,139,7,4,0,8,4,2,1,3,7,1,0,0,0,0,1,0.333333333333333,0.571428571428571,0.166666666666667,"1","Unknown"
"894",35,38,177,175,183,178,168,152,24,16,28,5,13,15,-3,2,5,16,1,1,1,0,0.461538461538462,0.761904761904762,0.25,0.714285714285714,"1","Unknown"
"844",23,26,163,179,170,180,134,138,63,74,5,10,4,20,-3,-16,-10,-4,0,0,0,0,0.926470588235294,0.880952380952381,0.0588235294117647,0.238095238095238,"1","Unknown"
"346",31,33,179,171,191,188,202,220,66,119,12,15,54,70,-2,8,3,-18,0,0,0,1,0.846153846153846,0.888059701492537,0.692307692307692,0.522388059701492,"1","orthodox"
"467",29,33,174,178,180,183,143,144,31,75,1,7,18,61,-4,-4,-3,-1,0,0,0,0,0.96875,0.914634146341463,0.5625,0.74390243902439,"1","orthodox"
"219",17,24,175,165,178,171,130,129,1,1,2,3,1,1,-7,10,7,1,0,0,0,0,0.333333333333333,0.25,0.333333333333333,0.25,"1","orthodox"
"683",38,32,168,170,165,183,126,126,55,23,4,13,28,19,6,-2,-18,0,1,0,0,0,0.932203389830508,0.638888888888889,0.474576271186441,0.527777777777778,"1","orthodox"
"228",20,23,168,170,168,170,122,121,0,4,2,0,0,0,-3,-2,-2,1,0,0,0,0,0,1,0,0,"1","southpaw"
"1035",26,29,183,178,191,188,155,158,22,42,6,5,7,26,-3,5,3,-3,0,0,0,0,0.785714285714286,0.893617021276596,0.25,0.553191489361702,"1","orthodox"
"123",32,25,178,178,180,183,145,147,28,31,3,8,20,21,7,0,-3,-2,0,0,0,0,0.903225806451613,0.794871794871795,0.645161290322581,0.538461538461538,"1","southpaw"
"117",28,22,170,165,173,168,123,123,10,11,1,0,6,6,6,5,5,0,0,0,0,0,0.909090909090909,1,0.545454545454545,0.545454545454545,"1","orthodox"
"1025",29,34,180,170,198,180,140,139,19,51,0,14,11,35,-5,10,18,1,0,0,0,0,1,0.784615384615385,0.578947368421053,0.538461538461538,"1","orthodox"
"942",26,24,192,188,206,198,218,222,24,21,2,0,13,11,2,4,8,-4,0,0,0,0,0.923076923076923,1,0.5,0.523809523809524,"1","orthodox"
"751",31,31,185,178,188,183,172,174,24,36,0,5,21,23,0,7,5,-2,0,0,0,0,1,0.878048780487805,0.875,0.560975609756098,"1","southpaw"
"490",35,30,185,196,196,213,247,238,23,28,3,1,16,24,5,-11,-17,9,1,0,0,0,0.884615384615385,0.96551724137931,0.615384615384615,0.827586206896552,"1","orthodox"
"300",17,18,167,170,170,170,108,112,0,1,1,1,0,0,-1,-3,0,-4,0,0,0,0,0,0.5,0,0,"1","orthodox"
"885",21,21,157,156,152,152,108,108,12,16,4,7,7,8,0,1,0,0,0,0,0,0,0.75,0.695652173913043,0.4375,0.347826086956522,"1","orthodox"
"373",39,27,182,183,182,194,172,219,60,16,8,0,53,13,12,-1,-12,-47,1,0,0,1,0.882352941176471,1,0.779411764705882,0.8125,"1","orthodox"
"573",23,27,171,171,180,178,139,137,43,67,4,16,25,12,-4,0,2,2,0,0,0,0,0.914893617021277,0.807228915662651,0.531914893617021,0.144578313253012,"1","orthodox"
